Name,Tel_No,Email,Street,Municipality,Latitude,Longitude,Availability,Done
AJUY PRIMARY CARE FACILITY ANIMAL BITE TREATMENT CENTER(ABTC),033-331-9790,ajuy_rhu11@yahoo.com,"RIZAL STREET, POBLACION",AJUY,11.1709231,123.0199399,,
ALEOSAN DISTRICT HOSPITAL ANIMAL BITE TREATMENT CENTER(ABTC),331-0602,aleosaniloilo@yahoo.com,BRGY. BANCAL,ALIMODIAN,10.78644562,122.4309338,,
ALIMODIAN RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),(033) 331-05-05,rhu.alimodianiloilo@yahoo.com,"PLAZA LIBERTAD., BRGY. POBLACION,",ALIMODIAN,10.81763523,122.4318112,,
BATAD PRIMARY CARE FACILITY ANIMAL BITE TREATMENT CENTER (ABTC),9189080973,batadrhu_2015@yahoo.com,CUENCA ST. POBLACION,BATAD,11.41727947,123.1089675,,
CARLES RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),3297586,carlesprimarycarefacility@gmail.com,"A. BETITA AVENUE, GUA POBLACION",CARLES,11.56863489,123.1430694,,
CONCEPCION RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),9394699835,concepcionrhuph@gmail.com,"CONFESOR ST., POBLACION,",CONCEPCION,11.21510544,123.1094465,,
DON JOSE S. MONFORT MEDICAL CENTER ANIMAL BITE TREATMENT CENTER,361-2010,omcc@djsmmc.gov.ph/djsmonfortceh@yahoo.com,TABUCAN,BAROTAC NUEVO,10.89750749,122.696107,,
DON VALERIO PALMARES SR. MEMORIAL DISTRICT HOSPITAL,311-5453,dvpsmdh@iloilo.gov.ph,"ALFELOR ST.,",PASSI,11.11230183,122.6445916,,
DR. RICARDO S. PROVIDO SR. MEMORIAL DISTRICT HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC),330-0557,drspmdhcalinog@yahoo.com.ph,BRGY. DALID,CALINOG,11.11318797,122.5352081,,
DR. RICARDO Y. LADRIDO MEMORIAL HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC),3300559/5020465/09177242159,drylmhlambunao@yahoo.com,POBLACION ILAWOD,LAMBUNAO,11.06114266,122.4834558,,
DUEÃ‘AS RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),n/a,duenasrhu@gmail.com,PICCIO ST. BRGY. POBLACION A,DUENAS,,,,
